Superfamily ID,Number of Domains,Number of De-Novo Domains,Proportion of De-Novo
3.30.1710.10,5,5,100.00%
1.20.1480.30,2,2,100.00%
1.20.120.660,1,1,100.00%
4.10.860.20,18,17,94.40%
1.10.340.20,2,1,50.00%
1.20.1270.70,2,1,50.00%
1.20.5.420,120,46,38.30%
1.20.91.10,44,15,34.10%
1.10.10.180,45,15,33.30%
1.10.8.40,13,3,23.10%
3.90.960.10,27,6,22.20%
3.30.54.20,18,3,16.70%
1.25.40.20,293,46,15.70%
3.30.70.340,29,4,13.80%
3.30.980.10,27,3,11.10%
3.90.930.1,20,2,10.00%
2.30.30.220,33,3,9.10%
3.10.20.10,212,19,9.00%
2.60.40.230,27,2,7.40%
1.25.10.10,313,16,5.10%
3.40.220.10,198,10,5.10%
1.10.287.540,45,2,4.40%
2.120.10.30,183,8,4.40%
2.60.410.10,31,1,3.20%
1.25.40.10,402,13,3.20%
3.80.20.20,112,3,2.70%
2.10.220.10,80,2,2.50%
1.20.5.170,209,5,2.40%
1.20.120.160,52,1,1.90%
3.10.28.10,214,4,1.90%
2.60.90.10,165,3,1.80%
1.10.530.10,1138,20,1.80%
3.20.20.40,63,1,1.60%
2.80.10.50,1111,17,1.50%
2.30.30.40,706,10,1.40%
3.10.450.10,140,2,1.40%
1.20.190.20,162,2,1.20%
2.40.128.20,898,9,1.00%
2.40.50.40,430,4,0.90%
3.30.1320.10,109,1,0.90%
1.20.120.10,218,2,0.90%
2.40.50.140,2146,18,0.80%
3.80.10.10,265,2,0.80%
3.40.50.1820,2495,17,0.70%
1.50.10.10,304,2,0.70%
1.10.533.10,177,1,0.60%
3.30.572.10,525,2,0.40%
3.30.450.20,549,2,0.40%
2.40.10.10,5502,20,0.40%
3.10.20.90,1024,4,0.40%
3.30.565.10,697,2,0.30%
3.40.190.10,3669,12,0.30%
2.30.42.10,734,2,0.30%
3.40.50.1460,321,1,0.30%
3.30.1390.20,309,1,0.30%
3.90.20.10,350,1,0.30%
3.20.20.70,4272,7,0.20%
2.10.77.10,481,1,0.20%
1.10.510.10,4599,3,0.10%
3.40.710.10,1318,1,0.10%
3.30.200.20,4682,3,0.10%
3.40.50.720,8249,5,0.10%
2.60.40.10,19468,23,0.10%
3.90.209.20,709,1,0.10%
3.40.50.300,6106,2,0.00%
