PDB_ID	Superfamilies
4kgs	3.10.20.10
4d8h	2.80.10.50
3v1f	4.10.860.20
2zgg	1.25.40.20
3o4c	2.80.10.50
2hyz	1.25.40.10
3p6i	2.80.10.50
2jvf	3.30.1710.10
2mn4	1.10.533.10
1na0	1.25.40.10
1lq7	1.20.1270.70
4dba	1.25.10.10
4hrl	1.25.40.20
1vjq	3.30.70.340
4ozc	3.10.20.10
4f2v	3.30.572.10
2bkg	1.25.40.20
2mra	3.30.1710.10
4pq8	3.80.10.10
3q9u	3.40.50.720
1mj0	1.25.40.20
3wwa	2.120.10.30
1ywt	1.20.190.20
4db6	1.25.10.10
3o4b	2.80.10.50
3tes	2.60.40.10
3qht	3.10.20.90
3bx7	2.40.128.20
1yyx	1.20.120.10
4cj2	1.10.530.10
2jua	1.20.1480.30
1y47	1.20.5.420
3kd7	1.25.40.10
4gn4	1.10.530.10
4lt9	3.20.20.70
3o4a	2.80.10.50
3v45	3.40.220.10
3v1b	4.10.860.20
1c3t	3.10.20.90
4hxt	1.25.10.10
4db8	1.25.10.10
3bx8	2.40.128.20
1ovv	1.20.5.420
1jmb	1.20.5.420
1zsz	2.30.30.220
1rgr	2.30.42.10
2xeh	1.25.40.20
2lhg	1.10.8.40
2avp	1.25.40.10
4a29	3.20.20.70
4hrm	3.80.20.20
4j8y	1.25.40.20
2wqh	1.25.40.10
4kyb	3.40.220.10
3q7x	2.80.10.50
3ww9	2.120.10.30
2lhe	3.10.20.10
4gvv	3.40.220.10
3v1d	4.10.860.20
2l6b	1.25.40.20
4n6t	3.10.450.10
4hqd	1.25.40.20
3v1a	4.10.860.20
1yyj	1.20.120.10
1ovr	1.20.5.420
4gla	1.10.530.10
4hb5	1.25.40.20
4lny	3.20.20.70
4ow4	2.80.10.50
4jb8	3.40.50.1460
1na3	1.25.40.10
2xee	1.25.40.20
3v1c	4.10.860.20
1mft	1.20.5.420
4gmr	1.25.40.20
4n6u	3.10.450.10
2fo7	1.25.40.10
4gn3	1.10.530.10
2lhc	1.10.8.40
4loa	3.40.50.300
2jws	1.10.8.40
3o4d	2.80.10.50
1ovu	1.20.5.420
3teu	2.60.40.10
4o5t	2.120.10.30
4kyv	3.40.50.1820
4etj	3.40.220.10
3og3	3.20.20.70
4lpu	2.60.40.10
3qa9	3.40.50.720
3q7y	2.80.10.50
2jwu	3.10.20.10
1g6u	1.10.287.540
3l35	1.20.5.170
4j7w	1.25.40.20
4db9	1.25.10.10
4o5s	2.120.10.30
4ijb	3.20.20.70
4gn5	2.40.50.140
4kgt	3.10.20.10
2zgd	1.25.40.20
3v1e	4.10.860.20
3ri0	3.90.960.10
2lhd	3.10.20.10
2xen	1.25.40.20
4psj	3.80.10.10
2kik	1.20.5.420
3rij	3.90.960.10
4kgr	3.10.20.10
2qyj	1.25.40.20
3q7w	2.80.10.50
3mis	3.10.28.10
3mip	3.10.28.10
1qys	3.30.1710.10
3l36	1.20.5.170
2mlb	3.10.20.90
4dui	1.25.40.20
1jm0	1.20.5.420
4atz	2.60.90.10
2lch	1.20.120.160
1ec5	1.20.5.420
1u7m	1.20.5.420
4gpm	1.25.40.20
4jw3	2.60.40.230
1u7j	1.20.5.420
3p6j	2.80.10.50
4hrn	1.25.40.20
1lt1	1.20.5.420
4gvw	3.40.220.10
2jab	1.25.40.20
3u0s	2.120.10.30
4ozb	3.10.20.10
4oza	3.10.20.10
3l37	1.20.5.170
1p68	1.20.1480.30
4glv	1.10.530.10
4ess	3.40.220.10
3o49	2.80.10.50
2jre	2.30.42.10
3pg0	2.80.10.50
2gjf	3.30.70.340
1svx	1.25.40.20
3q9n	3.40.50.720
